title,artist,url,genre,language,year
Choo Lo,The Local Train,https://youtube.com/watch?v=uB5bf7LQPVU,Indie Rock,Hindi,2015
Giant,Rag'n'Bone Man,https://youtube.com/watch?v=ir6nk2zrMG0,Pop,English,2019
Raging,Kodaline,https://www.youtube.com/watch?v=ZWyktWYW3ZM,Alternative Rock,English,2016
Stay Together for the Kids,blink182,https://youtu.be/k1BFHYtZlAU?si=UMvC3C0LGPAKy93,Punk Rock,English,2001
Oh Devil,Electronic Guest,https://youtu.be/1H7NKHrV4_w?si=b7ryQPwD8VPd88Ix,Indie Pop,English,2012
On Melancholy Hill,Gorillaz,https://youtu.be/04mfKJWDSzI?si=nauqFfV4qZp0GxxR,Alternative,English,2010
Tokyo Nights,Digital Farm Animals,https://youtu.be/T692utQOQvI?si=zZaS3e6E2bbQ6o1f,Dance Pop,English,2019
OK Not To Be OK,Marshmello,https://youtu.be/wAPlzt2L7wE?si=8NsFL2HvpKtgiLH0,Pop,English,2020
Noor,Lost Stories,https://youtu.be/f-CBG061wJ8?si=JP0P5Yw506C5UNOB,Electronic,Hindi,2021
Manmohana,Moksher,https://youtu.be/XiDiTsIxjsE?si=58w9Y3CRDEfIYpLE,Indie Folk,Hindi,2024
Latthey Di Chaadar,Coke Studio,https://youtu.be/SCOKysMnH50?si=Ln_vSEa8dJaD4sUV,Folk,Punjabi,2016
Firestone,Kygo,https://youtu.be/9Sc-ir2UwGU?si=JVi0yfKdNGWLYZKv,Tropical House,English,2014
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,https://www.youtube.com/watch?v=SiRJw4f_ufc,,,2017
Sunny Days,Armin van Buuren,https://www.youtube.com/watch?v=ST5wvpe6i80,,,2017
Are You With Me,Lost Frequencies,https://www.youtube.com/watch?v=iAvqCtaUx3Q,,,2020
Reality (feat. Janieck Devy),Lost Frequencies,https://www.youtube.com/watch?v=7vLbNF0dZGA,,,2019
What Lovers Do,Maroon 5,https://www.youtube.com/watch?v=0siKyXL_h08,,,2018
Wait,Maroon 5,https://www.youtube.com/watch?v=EH5nS7c88ZU,,,2018
Lips On You,Maroon 5,https://www.youtube.com/watch?v=JXQHqzreUmY,,,2018
I Took A Pill In Ibiza (Seeb Remix),Mike Posner,https://www.youtube.com/watch?v=Ah0srVZq9ac,,,2018
Let Me Go,Hailee Steinfeld,https://www.youtube.com/watch?v=5yM-6ZwBX-Y,,,2018
Wolves,Selena Gomez & The Scene,https://www.youtube.com/watch?v=3ZJ1PkZt3M8,,,2018
Without You,Avicii,https://www.youtube.com/watch?v=fv7nmDHFRb8,,,2021
Firestone,Kygo,https://www.youtube.com/watch?v=aDPkAK5s30I,,,2017
Meant to Be,Piano Peace,https://www.youtube.com/watch?v=Uyb9DUqHInY,,,2022
Silence,Marshmello,https://www.youtube.com/watch?v=MbT_grBSt38,,,2017
Stargazing,Kygo,https://www.youtube.com/watch?v=UrJRHUhAQNA,,,2017
How Long,Charlie Puth,https://www.youtube.com/watch?v=7Ms6AnGSB_A,,,2017
The Middle,Zedd,https://www.youtube.com/watch?v=rYPQtWOcGmQ,,,2018
I Like Me Better,Lauv,https://www.youtube.com/watch?v=gd9tsqCu3MQ,,,2017
Stranger Things,Kygo,https://www.youtube.com/watch?v=JI7zBB_valo,,,2017
Back to You,Louis Tomlinson,https://www.youtube.com/watch?v=4shkZqdB5GY,,,2017
Him & I,G-Eazy,https://www.youtube.com/watch?v=NdSJ1pyaAH8,,,2017
So Far Away,Martin Garrix,https://www.youtube.com/watch?v=DiTBXQXjZ0M,,,2017
Kids in Love,Kygo,https://www.youtube.com/watch?v=JBD5LGyI2E4,,,2017
Sorry Not Sorry,Demi Lovato,https://www.youtube.com/watch?v=FxX_Ccv7LdI,,,2021
More Than You Know,Axwell,https://www.youtube.com/watch?v=Rs1HqzgM-q8,,,2018
There for You,Martin Garrix,https://www.youtube.com/watch?v=fH1PcHx2kPY,,,2017
Thunder,Imagine Dragons,https://www.youtube.com/watch?v=9ssQKlLxBdQ,,,2018
Pray For Me,The Weeknd,https://www.youtube.com/watch?v=FL-0pJsDz7k,,,2018
You Owe Me,The Chainsmokers,https://www.youtube.com/watch?v=3h1m6cTCNuo,,,2018
Complicated,Like Mike,https://www.youtube.com/watch?v=sWwMulKE2FI,,,2017
Attention,Charlie Puth,https://www.youtube.com/watch?v=vxUBYHz_q1I,,,2017
Feels,Calvin Harris,https://www.youtube.com/watch?v=fqqcXP1D0Fw,,,2017
Symphony,Clean Bandit,https://www.youtube.com/watch?v=-SttFgyRNCI,,,2018
Dreamer,Axwell,https://www.youtube.com/watch?v=rWhpWhDEIjU,,,2018
Sunrise,Kygo,https://www.youtube.com/watch?v=ZV3VuB9WfYU,,,2017
This Town,Kygo,https://www.youtube.com/watch?v=gvwH4Q8Aifs,,,2017
The One,The Chainsmokers,https://www.youtube.com/watch?v=05MUaK78T-k,,,2017
Walking The Wire,Imagine Dragons,https://www.youtube.com/watch?v=oB8nNlBkcEo,,,2018
Just Hold On,Steve Aoki,https://www.youtube.com/watch?v=3pQLMqRn_pw,,,2018
Rollin,Calvin Harris,https://www.youtube.com/watch?v=Hz-xwToiHa4,,,2017
1000 Nights,Frenship,https://www.youtube.com/watch?v=TX0s_wRsoUM,,,2017
Capsize,Frenship,https://www.youtube.com/watch?v=Win3Uuzfde8,,,2017
The Ocean,Mike Perry,https://www.youtube.com/watch?v=OFiBWFtbH-w,,,2016
7 Years,Lukas Graham,https://www.youtube.com/watch?v=vTMAa6zZ7jY,,,2017
Hymn for the Weekend (Seeb Remix),Coldplay,https://www.youtube.com/watch?v=qLboqerzUzI,,,2017
Stay,Kygo,https://www.youtube.com/watch?v=cfix_Ttek24,,,2017
Ride,Twenty One Pilots,https://www.youtube.com/watch?v=w1Smzzw_w7Q,,,2017
Pompeii,Bastille,https://www.youtube.com/watch?v=_kmgAqiF4Sg,,,2017
Helium,Sia,https://www.youtube.com/watch?v=CbHA7LOSpB4,,,2018
Lonely Together,Avicii,https://www.youtube.com/watch?v=rFtrb2NzjAk,,,2018
1-800-273-8255,Logic,https://www.youtube.com/watch?v=GaFoS-Kza8U,,,2019
No Promises (feat. Demi Lovato),Cheat Codes,https://www.youtube.com/watch?v=8dwSKcSbvAU,,,2017
Young,The Chainsmokers,https://www.youtube.com/watch?v=0I_f59ZLmYY,,,2017
All The Stars,Kendrick Lamar,https://www.youtube.com/watch?v=vdXsLt0o_9g,,,2018
Just One Last Time,David Guetta,https://www.youtube.com/watch?v=-VlT_j9_aw0,,,2015
She Wolf (Falling to Pieces),David Guetta,https://www.youtube.com/watch?v=BMJLSdM5vho,,,2017
Cooler Than Me,Mike Posner,https://www.youtube.com/watch?v=Bsr8hb3TPBI,,,2017
Rich Love,OneRepublic,https://www.youtube.com/watch?v=UM4n3jTu6Q4,,,2018
I Miss You (feat. Julia Michaels),Clean Bandit,https://www.youtube.com/watch?v=3FVKcxX80Co,,,2018
The Spectre,Alan Walker,https://www.youtube.com/watch?v=lNM9HlEK4q4,,,2017
First Time,Kygo,https://www.youtube.com/watch?v=X_e6dmRMR1o,,,2017
OK,Robin Schulz,https://www.youtube.com/watch?v=Sdt_2erAzSo,,,2021
Sinnerman,Nina Simone,https://www.youtube.com/watch?v=3KyUicgOm74,,,2018
Kids,OneRepublic,https://www.youtube.com/watch?v=UIbYU3xKYQk,,,2021
Street Life (Single Edit),The Crusaders,https://www.youtube.com/watch?v=P3baxfCo040,,,2018
Gravity,Timeflies,https://www.youtube.com/watch?v=WvuJnlpNBVs,,,2018
Magic Works,Release,https://www.youtube.com/watch?v=9CdK5jiVmbg,,,2017
Hold On,Jet,https://www.youtube.com/watch?v=g6qZ86BdVOo,,,2019
Remind Me to Forget,Kygo,https://www.youtube.com/watch?v=FGSTRog9TOU,,,2018
Midnight (Kygo Remix),Coldplay,https://www.youtube.com/watch?v=9gLlQpYWUD4,,,2017
Bad Things,mgk,https://www.youtube.com/watch?v=oYvtDpsE7Nk,,,2018
Let Her Go,Passenger,https://www.youtube.com/watch?v=6bGmUTAfh-A,,,2021
Fly (ft. Leah Culver),Marshmello,https://www.youtube.com/watch?v=oxmF4bULw8U,,,2018
One Kiss,Calvin Harris,https://www.youtube.com/watch?v=XWCPbRsMb0Q,,,2018
Free to Be,Philip Michael,https://www.youtube.com/watch?v=G27zyEPdFGA,,,2015
Flames,David Guetta,https://www.youtube.com/watch?v=9neTLW-dIeY,,,2018
Too Good At Goodbyes (Galantis Remix),Sam Smith,https://www.youtube.com/watch?v=7aynOb7dxbQ,,,2020
I Wanna Know,Alesso,https://www.youtube.com/watch?v=JiY6QGCJzNc,,,2018
Step by Step,Slushii,https://www.youtube.com/watch?v=KbRSuLdcrKI,,,2017
Hung Up,Hot Chelle Rae,https://www.youtube.com/watch?v=vZBgmbqclr8,,,2015
All I Can Think About Is You,Coldplay,https://www.youtube.com/watch?v=MtyNoff3e48,,,2017
Better Not,Louis The Child,https://www.youtube.com/watch?v=GX6zhFO4xdQ,,,2018
